date_id,currency_code,rate_to_usd
20220319,GBP,0.7624
20220319,JPY,119.37
20220319,USD,1
20220320,CAD,1.2637
20220320,EUR,0.90843
20220320,GBP,0.7624
20220320,JPY,119.37
20220320,USD,1
20220321,CAD,1.2591
20220321,EUR,0.90596
20220321,GBP,0.75897
20220321,JPY,119.2
20220321,USD,1
20220322,CAD,1.2579
20220322,EUR,0.90711
20220322,GBP,0.75497
20220322,JPY,120.61
20220322,USD,1
20220323,CAD,1.2599
20220323,EUR,0.91033
20220323,GBP,0.75812
20220323,JPY,120.76
20220323,USD,1
20220324,CAD,1.2576
20220324,EUR,0.91091
20220324,GBP,0.75868
20220324,JPY,121.8
20220324,USD,1
20220325,CAD,1.2526
20220325,EUR,0.90893
20220325,GBP,0.75786
20220325,JPY,121.86
20220325,USD,1
20220326,CAD,1.2526
20220326,EUR,0.90893
20220326,GBP,0.75786
20220326,JPY,121.86
20220326,USD,1
20220327,CAD,1.2526
20220327,EUR,0.90893
20220327,GBP,0.75786
20220327,JPY,121.86
20220327,USD,1
20220328,CAD,1.2495
20220328,EUR,0.91191
20220328,GBP,0.76275
20220328,JPY,123.96
20220328,USD,1
20220329,CAD,1.2512
20220329,EUR,0.90212
20220329,GBP,0.76175
20220329,JPY,123.28
20220329,USD,1
20220330,CAD,1.2485
20220330,EUR,0.8988
20220330,GBP,0.76005
20220330,JPY,121.76
20220330,USD,1
20220331,CAD,1.2518
20220331,EUR,0.90082
20220331,GBP,0.76205
20220331,JPY,121.76
20220331,USD,1
20220401,CAD,1.2491
20220401,EUR,0.90481
20220401,GBP,0.76136
20220401,JPY,122.47
20220401,USD,1
20220402,CAD,1.2491
20220402,EUR,0.90481
20220402,GBP,0.76136
20220402,JPY,122.47
20220402,USD,1
20220403,CAD,1.2491
20220403,EUR,0.90481
20220403,GBP,0.76136
20220403,JPY,122.47
20220403,USD,1
20220404,CAD,1.2493
20220404,EUR,0.90868
20220404,GBP,0.76229
20220404,JPY,122.74
20220404,USD,1
20220405,CAD,1.2441
20220405,EUR,0.91166
20220405,GBP,0.76115
20220405,JPY,122.86
20220405,USD,1
